From_NL,From_UTC,E_Volume_kWh,Tenant,E_Volume_MWh,Abs_E_Volume_kWh,Abs_E_Volume_MWh
01/12/2023 22:15,01/12/2023 21:15,48245,0,48.245,48245,48.245
01/12/2023 22:15,01/12/2023 21:15,1430,1,1.43,1430,1.43
01/12/2023 22:30,01/12/2023 21:30,1407,1,1.407,1407,1.407
01/12/2023 22:30,01/12/2023 21:30,48268,0,48.268,48268,48.268
01/12/2023 22:45,01/12/2023 21:45,48314,0,48.314,48314,48.314
01/12/2023 22:45,01/12/2023 21:45,1361,1,1.361,1361,1.361
01/12/2023 23:00,01/12/2023 22:00,1337,1,1.337,1337,1.337
01/12/2023 23:00,01/12/2023 22:00,44738,0,44.738,44738,44.738
01/12/2023 23:15,01/12/2023 22:15,1288,1,1.288,1288,1.288
01/12/2023 23:15,01/12/2023 22:15,44787,0,44.787,44787,44.787
01/12/2023 23:30,01/12/2023 22:30,1239,1,1.239,1239,1.239
01/12/2023 23:30,01/12/2023 22:30,44836,0,44.836,44836,44.836
01/12/2023 23:45,01/12/2023 22:45,1200,1,1.2,1200,1.2
01/12/2023 23:45,01/12/2023 22:45,44875,0,44.875,44875,44.875
02/12/2023 00:00,01/12/2023 23:00,41208,0,41.208,41208,41.208
02/12/2023 00:00,01/12/2023 23:00,1192,1,1.192,1192,1.192
02/12/2023 00:15,01/12/2023 23:15,1168,1,1.168,1168,1.168
02/12/2023 00:15,01/12/2023 23:15,41232,0,41.232,41232,41.232
02/12/2023 00:30,01/12/2023 23:30,41263,0,41.263,41263,41.263
02/12/2023 00:30,01/12/2023 23:30,1137,1,1.137,1137,1.137
02/12/2023 00:45,01/12/2023 23:45,1113,1,1.113,1113,1.113
02/12/2023 00:45,01/12/2023 23:45,41287,0,41.287,41287,41.287
02/12/2023 01:00,02/12/2023 00:00,1130,1,1.13,1130,1.13
02/12/2023 01:00,02/12/2023 00:00,39245,0,39.245,39245,39.245
02/12/2023 01:15,02/12/2023 00:15,39282,0,39.282,39282,39.282
02/12/2023 01:15,02/12/2023 00:15,1093,1,1.093,1093,1.093
02/12/2023 01:30,02/12/2023 00:30,1058,1,1.058,1058,1.058
